City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,nueva gerona,21.8833,-82.8,79.36,72,95,20.04,CU,1730073230
247,kavaratti,10.5669,72.642,81.68,73,96,4.34,IN,1730073232
248,rockport,28.0206,-97.0544,80.65,69,0,9.22,US,1730073233
249,polovinnoye,54.7914,65.9864,35.96,96,100,9.08,RU,1730073235
250,mejit,10.2753,170.8646,83.57,76,8,8.37,MH,1730073236
251,campos belos,-13.0367,-46.7717,76.05,72,68,4.0,BR,1730073237
252,laconia,43.5279,-71.4704,43.68,58,31,3.6,US,1730073090
253,ciudad madero,22.2667,-97.8333,80.06,71,16,9.55,MX,1730072946
254,ponta delgada,37.7333,-25.6667,66.92,68,75,5.75,PT,1730073241
255,pacocha,-17.5833,-71.3333,61.9,91,1,1.43,PE,1730073242
256,afif,23.9065,42.9172,74.95,40,36,3.49,SA,1730073243
257,semur-en-auxois,47.4833,4.3333,54.09,90,3,2.95,FR,1730073244
258,jijiga,9.35,42.8,64.58,57,84,5.01,ET,1730073246
259,margate,51.3813,1.3862,51.69,90,91,12.33,GB,1730072819
260,xuanzhou,30.9525,118.7553,60.73,76,100,2.42,CN,1730073248
261,tabas,33.5959,56.9244,57.42,58,0,2.3,IR,1730073249
262,olyokminsk,60.3736,120.4264,20.48,95,99,2.73,RU,1730073250
263,port saint john's,-31.6229,29.5448,62.92,85,22,7.09,ZA,1730073251
264,santiago de cao,-7.9589,-79.2392,64.53,82,70,9.22,PE,1730073253
265,tamiahua,21.2667,-97.45,74.86,84,25,7.94,MX,1730073152
266,payson,40.0444,-111.7321,65.25,38,100,4.0,US,1730073255
267,puerto deseado,-47.7503,-65.8938,57.13,37,75,13.02,AR,1730073256
268,yomju-up,39.8933,124.5981,45.01,66,0,8.43,KP,1730073257
269,tyazhinskiy,56.116,88.524,39.16,95,100,12.37,RU,1730073258
270,filipstad,59.7124,14.1683,41.36,82,1,10.13,SE,1730073260
271,metu,8.3,35.5833,58.64,97,93,2.42,ET,1730073261
272,uturoa,-16.7333,-151.4333,77.16,73,73,13.11,PF,1730073262
273,juneau,58.3019,-134.4197,44.6,91,75,0.0,US,1730072797
274,la passe,45.5549,-0.8967,55.04,86,1,3.42,FR,1730073264
275,behompy,-23.2496,43.8557,71.85,58,21,4.03,MG,1730073266
276,nyurba,63.2842,118.3319,16.03,96,100,4.5,RU,1730073267
277,hilo,19.7297,-155.09,81.1,77,100,6.91,US,1730073071
278,porto velho,-8.7619,-63.9039,77.05,88,20,1.14,BR,1730073220
279,dong ha,16.8163,107.1003,69.44,96,100,4.16,VN,1730073270
280,khandyga,62.6667,135.6,0.16,88,100,0.51,RU,1730073271
281,markovo,57.3206,107.0881,29.98,97,96,2.17,RU,1730073273
282,ola,59.5833,151.2833,16.79,52,61,12.37,RU,1730073274
283,fale old settlement,-9.3852,-171.2468,82.71,73,100,15.3,TK,1730073275
284,lebu,-37.6167,-73.65,51.53,85,1,19.73,CL,1730073276
285,irymple,-34.25,142.1667,64.09,59,0,12.86,AU,1730073277
286,puerto aysen,-45.4,-72.7,45.0,97,50,5.97,CL,1730073278
287,remire-montjoly,4.9167,-52.2667,80.64,78,0,3.44,GF,1730073280
288,wailua homesteads,22.0669,-159.378,83.19,77,40,17.27,US,1730073281
289,okhotsk,59.3833,143.3,17.33,66,100,13.2,RU,1730073282
290,elliot lake,46.3834,-82.6331,34.81,95,100,6.29,CA,1730073283
291,cidreira,-30.1811,-50.2056,65.86,63,0,15.39,BR,1730073212
292,musoma,-1.5,33.8,71.11,74,96,2.82,TZ,1730073285
293,nola,40.922,14.5329,63.01,95,63,1.95,IT,1730073287
294,villa zaragoza,22.0333,-100.7333,61.65,61,0,10.13,MX,1730073288
295,aripuana,-9.1667,-60.6333,73.9,98,100,2.89,BR,1730073289
296,queenstown,-31.8976,26.8753,48.7,57,2,23.31,ZA,1730073138
297,alaghsas,17.0187,8.0168,78.19,18,5,11.18,NE,1730073292
